Name,rsquared,coef,Pearson,tM1,tM2
180116_231_gp91_p67001_lif_round2_t5_d1_004_1_inside,0.10585083471933354,-0.8058091675163354,-0.3253472525154213,0.9470769377670621,0.7742910779567237
180116_231_gp91_p67001_lif_round2_t5_d1_005_1_inside,0.007947739467636272,-0.3155621977660568,-0.08915009516336099,0.9930778980208638,0.707565644858319
180116_231_gp91_p67001_lif_round2_t5_d1_006_1_inside,0.06189298140964972,-0.49614256944494395,-0.24878300064443615,0.9763070222784715,0.6809722860540273
180116_231_gp91_p67001_lif_round2_t5_d1_008_1_inside,0.05502067574630787,-0.3781303918467459,-0.2345648646884443,0.9739802638681955,0.8204036822734349
180116_231_gp91_p67001_lif_round2_t5_d1_010_1_inside,0.0005224713307846462,-0.02908519939200838,-0.022857631784255008,0.999719671230419,0.9660902353400078
180116_231_gp91_p67001_lif_round2_t5_d1_010_2_inside,0.008309934066526137,0.11173304652383612,0.09115883976074962,1.0,0.9827461698274617
180116_231_gp91_p67001_lif_round2_t5_d2_001_1_inside,1.4438487332513184e-05,-0.055458080710565565,-0.0037998009595573527,0.9479116658665386,0.37556255625562557
180116_231_gp91_p67001_lif_round2_t5_d2_002_2_inside,0.06480717464388908,-0.5101191807014341,-0.2545725331686219,0.9941951174743024,0.8801958856792417
180116_231_gp91_p67001_lif_round2_t5_d2_002_3_inside,0.04539576009942348,-1.0000307096268668,-0.21306280787463475,0.9791922265299112,0.6117693586659995
180116_231_gp91_p67001_lif_round2_t5_d2_003_1_inside,0.07512905925180369,-0.3886450704387445,-0.27409680635097494,0.9891865518376054,0.95611441307578
180116_231_gp91_p67001_lif_round2_t5_d2_003_2_inside,0.07841555825553481,-0.36089505533631955,-0.28002778122096167,0.9928284065069092,0.9781295629063941
180116_231_gp91_p67001_lif_round2_t5_d2_004_2_inside,0.03569523881959524,-0.8564166504580498,-0.1889318364373652,0.9842956852791879,0.6844927233479563
180116_231_gp91_p67001_lif_round2_t5_d2_004_3_inside,0.050221391379846825,-0.8216637858469319,-0.22410129714003557,0.9973091153716784,0.7750795786433893
180116_231_gp91_p67001_lif_round2_t5_d3_001_1_inside,0.059957243048077924,-0.6175586124815651,-0.2448616814613467,0.9955312810327706,0.868337843612021
180116_231_gp91_p67001_lif_round2_t5_d3_002_2_inside,0.04293556423719547,-1.508644020322944,-0.20720898686397624,0.9759404492888475,0.44616232771822356
180116_231_gp91_p67001_lif_round2_t5_d3_002_4_inside,0.010481827997798843,-0.8759260287519066,-0.10238079897030813,0.9617930204572804,0.39807262951656264
180116_231_gp91_p67001_lif_t5_d1_003_1_inside,0.008024854148284799,-0.07399839596846675,-0.08958155026725535,0.9128545495562925,0.9382568955891913
180116_231_gp91_p67001_lif_t5_d1_005_1_inside,0.043577371093327044,-0.2628961147612882,-0.20875193674149986,0.8378677392548594,0.7689579791110032
180116_231_gp91_p67001_lif_t5_d2_001_1_inside,0.017573330282989907,-0.14984242556923016,-0.13256443822907263,0.8398731566463855,0.9172330742634238
180116_231_gp91_p67001_lif_t5_d2_002_1_inside,0.03813311739747782,-0.826002373955631,-0.1952770273162664,0.667890289513783,0.19693885120377164
180116_231_gp91_p67001_lif_t5_d2_005_1_inside,0.16898893407225324,0.4890500372155034,0.41108263654921406,0.9853254042225554,0.953870644658325
180116_231_gp91_p67001_lif_t5_d2_007_1_inside,2.111026949913608e-06,0.0011473228812975628,0.001452937352370474,0.8897034082772676,0.9323480715735512
180116_231_gp91_p67001_lif_t5_d3_001_1_inside,0.00645134043387896,-0.43958991082196147,-0.0803202367643372,0.7694192860948322,0.19761035591537765
180116_231_gp91_p67001_lif_t5_d3_002_1_inside,0.003274492519047212,-0.06612123995062762,-0.0572231816578483,0.9516737009188228,0.9056814285384344
180116_231_gp91_p67001_lif_t5_d3_003_1_inside,0.003215092278339271,0.08219630986161768,0.05670178373154704,0.9063636783689013,0.7777980227023068
180116_231_gp91_p67001_lif_t5_d3_003_1_outside,0.003215092278339271,0.08219630986161768,0.05670178373154704,0.9063636783689013,0.7777980227023068
180116_231_gp91_p67001_lif_t5_d3_007_1_inside,0.0030688674976359076,-0.20274077233942253,-0.05539736002406429,0.9458953628668333,0.39062160913333993
